State_No,County_No,Votes_For,Votes_Against,Total_Votes,Ballot_Type,Population,Per_Capita_Income,Medium_Family_Income,Size_of_County,Population_Density,Percent_White,Percent_Black,Percent_Other,Percent_Male,Percent_Female,No_of_Churches,No_of_Church_Members,Poverty_Level_Rate,Unemployment_Rate,Age_Less_than_18,Age_18_24,Age_24_44,Age_44_64,Age_Older_than_64,MSA,Percent_Minority
9,138,976,1204,2180,2,14885,"$15,592 ","$23,521 ",1016.30,14.65,.57,.06,.37,.483,.517,46,8979,24.50,5.30,4471,1184,3691,2904,2635,2,.43
9,139,1457,892,2349,2,13481,"$13,856 ","$25,498 ",712.10,18.93,.83,.02,.15,.485,.515,28,5307,17.70,6.30,3753,1077,3625,2865,2161,2,.17
9,140,262,126,388,2,5403,"$9,438 ","$17,620 ",1489.00,3.63,.21,.01,.78,.496,.504,13,943,35.20,7.80,1791,503,1464,932,713,2,.79
9,141,1653,809,2462,2,18718,"$15,397 ","$23,746 ",970.00,19.30,.84,.07,.09,.478,.522,44,4384,15.00,2.40,4662,1302,4663,3693,4398,2,.16
9,142,1236,660,1896,2,12852,"$14,591 ","$26,699 ",628.60,20.45,.75,.14,.11,.505,.495,28,6551,13.50,4.20,3809,973,3605,2408,2057,2,.25
9,143,1279,1018,2297,2,12837,"$14,469 ","$22,837 ",1072.10,11.97,.83,.13,.05,.485,.515,60,6683,18.60,7.00,3363,893,3250,2752,2579,2,.17
9,144,3569,2155,5724,2,53686,"$14,544 ","$27,016 ",1159.80,46.29,.81,.13,.06,.499,.501,97,24053,18.90,8.60,15891,4667,16298,10527,6303,1,.19
9,145,1427,1267,2694,2,20934,"$13,934 ","$21,810 ",908.90,23.03,.73,.20,.07,.472,.528,49,9820,22.30,4.90,5625,1522,5838,4064,3885,2,.27
9,146,408,366,774,2,3085,"$17,887 ","$29,074 ",932.20,3.31,.86,.00,.14,.503,.497,19,2299,10.80,4.00,899,155,851,655,525,2,.14
9,147,902,574,1476,2,9726,"$12,686 ","$24,843 ",1036.40,9.38,.64,.00,.36,.491,.509,26,3137,19.40,4.10,2683,677,2602,2192,1572,2,.36
9,148,2395,1198,3593,2,11695,"$17,297 ","$21,627 ",934.90,12.51,.95,.00,.04,.473,.527,32,4997,13.30,3.30,1915,516,2210,3019,4035,2,.05
9,149,15991,13538,29529,2,224093,"$16,429 ","$27,550 ",899.60,249.10,.67,.08,.25,.493,.507,218,86945,21.00,5.40,59931,36005,69031,36434,22692,1,.33
9,150,544,574,1118,2,6733,"$12,169 ","$23,605 ",891.90,7.55,.54,.03,.43,.491,.509,30,4079,27.10,3.40,2071,550,1712,1374,1026,2,.46
9,151,732,826,1558,2,8380,"$14,027 ","$19,338 ",1069.40,7.84,.71,.02,.27,.477,.523,33,3365,26.10,8.40,2279,616,2030,1587,1868,2,.29
9,152,1118,517,1635,2,191489,"$15,369 ","$26,512 ",1041.90,183.79,.71,.16,.13,.485,.515,237,92357,21.30,6.90,50671,27282,54010,33411,26115,1,.29
9,153,282,407,689,2,785,"$19,713 ","$29,832 ",1113.10,.71,.60,.00,.40,.502,.498,3,162,4.30,2.20,199,56,215,184,131,2,.40
9,154,359,392,751,2,11015,"$13,367 ","$21,728 ",469.70,23.45,.65,.24,.12,.582,.418,29,5423,28.10,4.30,2377,1985,3154,1775,1724,2,.35
9,155,2698,1443,4141,2,9980,"$12,209 ","$17,666 ",381.20,26.18,.67,.31,.02,.492,.508,38,4899,27.10,9.40,2497,647,2456,2330,2050,2,.33
9,156,812,146,958,2,4809,"$12,396 ","$26,472 ",914.90,5.26,.58,.02,.40,.496,.504,10,1831,21.70,2.00,1660,371,1321,886,571,2,.42
9,157,855,583,1438,2,3353,"$14,648 ","$19,279 ",932.10,3.60,.79,.00,.21,.476,.524,11,1693,21.60,2.90,801,196,795,745,816,2,.21
9,158,14422,11886,26308,2,37644,"$15,842 ","$28,138 ",1114.50,33.78,.59,.14,.27,.495,.505,64,12584,20.90,11.00,11929,3089,11466,6810,4350,2,.41
9,159,126,72,198,2,38415,"$6,916 ","$14,223 ",1280.20,30.01,.04,.00,.96,.475,.525,25,1798,44.80,33.70,14613,4151,10296,6077,3278,2,.96
9,160,2130,914,3044,2,28183,"$13,081 ","$25,710 ",1327.90,21.22,.54,.00,.46,.496,.504,40,5594,20.70,5.50,8502,2410,7879,5451,3941,2,.46
9,161,319,128,447,2,2202,"$13,233 ","$16,533 ",902.00,2.44,.67,.00,.33,.495,.505,14,1418,27.00,3.30,542,122,538,464,536,2,.33
9,162,6946,7121,14067,2,108988,"$23,451 ","$34,525 ",900.30,121.06,.69,.08,.23,.485,.515,100,39790,15.50,4.70,34413,8972,36493,18976,10134,1,.31
9,163,2233,1342,3575,2,22903,"$14,157 ","$22,804 ",1016.80,22.52,.72,.13,.15,.485,.515,71,9637,21.70,5.00,6499,1716,5912,4458,4318,2,.28
9,164,432,571,1003,2,4524,"$14,175 ","$20,756 ",748.20,6.05,.89,.00,.11,.486,.514,18,2981,19.60,3.00,1096,253,1059,950,1166,2,.11
9,165,811,795,1606,2,7750,"$13,232 ","$21,245 ",910.10,8.52,.65,.05,.30,.477,.523,24,4204,23.10,8.00,2140,549,1911,1518,1632,2,.35
9,166,1803,1261,3064,2,17237,"$14,197 ","$21,975 ",930.70,18.52,.96,.00,.04,.479,.521,60,8596,17.50,5.70,4291,1165,4278,3738,3765,2,.04
9,167,14773,7701,22474,2,192916,"$18,550 ","$37,496 ",1044.30,184.73,.87,.04,.08,.497,.503,146,53328,12.80,5.20,57875,16415,64501,37552,16573,1,.13
9,168,1184,1048,2232,2,18048,"$16,732 ","$31,538 ",899.70,20.06,.65,.01,.34,.500,.500,36,7177,12.50,3.80,6048,1701,5393,3080,1826,2,.35
9,169,1100,1011,2111,2,13058,"$13,622 ","$22,072 ",254.50,51.31,.73,.25,.02,.482,.518,32,6954,20.60,12.20,3592,917,3575,2715,2259,2,.27
9,170,221,153,374,2,1462,"$15,488 ","$21,160 ",989.40,1.48,.85,.05,.10,.484,.516,12,1054,17.00,3.10,346,84,326,328,378,2,.15
9,171,3532,3383,6915,2,54832,"$13,702 ","$23,786 ",946.80,57.91,.77,.17,.06,.484,.516,84,20820,21.80,5.90,12895,12316,14553,8548,6520,2,.23
9,172,2838,2289,5127,2,39802,"$14,514 ","$23,729 ",1071.20,37.16,.73,.19,.08,.481,.519,82,20101,21.10,8.00,10828,3889,10759,7576,6750,2,.27
9,173,1113,814,1927,2,13426,"$10,927 ","$20,030 ",932.80,14.39,.76,.23,.01,.488,.512,26,5003,23.60,10.20,4003,1125,3668,2819,1811,2,.24
9,174,1292,1131,2423,2,16358,"$13,556 ","$22,987 ",912.10,17.93,.69,.05,.26,.486,.514,42,9507,21.70,7.20,4579,1413,4467,3164,2735,2,.31
9,175,18847,8912,27759,2,296230,"$16,070 ","$28,707 ",835.90,354.38,.42,.04,.54,.489,.511,224,67436,22.70,8.00,90731,28905,95024,51065,30505,1,.58
9,176,737,695,1432,2,8852,"$18,741 ","$31,672 ",917.60,9.65,.81,.00,.19,.500,.500,22,4075,13.00,4.00,2747,684,2809,1595,1017,2,.19
9,177,279,156,435,2,2209,"$22,200 ","$33,135 ",1500.70,1.47,.89,.00,.11,.565,.435,9,1043,10.60,5.50,879,131,555,406,238,2,.11
9,178,6216,4358,10574,2,81755,"$15,307 ","$30,524 ",356.40,229.39,.88,.09,.03,.489,.511,95,36888,15.60,8.90,23609,7232,24646,17225,9043,1,.12
9,179,2367,1326,3693,2,25062,"$14,355 ","$23,697 ",953.00,26.30,.86,.03,.10,.483,.517,66,11276,20.00,8.40,6672,2034,6913,5190,4253,2,.14
9,180,1841,1735,3576,2,22055,"$13,275 ","$25,781 ",801.00,27.53,.79,.19,.02,.478,.522,53,9564,18.20,9.60,6221,1840,6154,4363,3477,2,.21
9,181,4982,3880,8862,2,66513,"$16,251 ","$33,679 ",903.60,73.61,.94,.01,.05,.500,.500,102,26323,12.50,6.60,18803,5552,21026,13707,7425,1,.06
9,182,611,829,1440,2,9927,"$21,310 ","$27,125 ",881.70,11.26,.56,.01,.43,.503,.497,24,4183,19.60,3.50,3319,842,2768,1776,1222,2,.44
9,183,808,622,1430,2,14335,"$10,852 ","$24,078 ",4764.00,3.01,.42,.01,.58,.495,.505,31,3998,27.00,8.30,4934,1258,3918,2757,1468,2,.58
9,184,2406,1820,4226,2,31844,"$14,291 ","$21,805 ",1057.40,30.12,.80,.13,.07,.488,.512,68,13351,20.00,7.10,7925,2249,7591,7435,6644,2,.20
